month,cost_with_battery,cost_no_solar,monthly_savings
1,718.5343584932759,3668.3378325663966,2949.803474073121
2,755.1209905035605,4193.924988304385,3438.8039978008246
3,1057.9527983080568,4528.963827602389,3471.011029294332
4,1385.8621951163218,5165.942781565519,3780.080586449197
5,2603.0766436168037,7777.134283350304,5174.057639733501
6,508.8785861643845,3537.84225739626,3028.963671231875
7,-621.3568158808106,3376.7799500086967,3998.1367658895074
8,-616.9201162029036,3706.046587157235,4322.966703360139
9,-877.9252311890122,1651.344168521245,2529.269399710257
10,-491.55409786560887,1542.5662513316233,2034.1203491972321
11,381.20600872624306,4084.0861022681684,3702.8800935419254
12,-318.8402742098682,2047.55960579072,2366.3998800005884
