,ImportkWh
2024-01-01 00:00:00,20.579485
2024-01-01 00:30:00,20.600085
2024-01-01 01:00:00,20.466184
2024-01-01 01:30:00,20.260183
2024-01-01 02:00:00,20.239583
2024-01-01 02:30:00,19.971782
2024-01-01 03:00:00,20.332284
2024-01-01 03:30:00,20.383784
2024-01-01 04:00:00,19.889382
2024-01-01 04:30:00,20.146883
2024-01-01 05:00:00,20.188083
2024-01-01 05:30:00,20.692785
2024-01-01 06:00:00,20.332284
2024-01-01 06:30:00,20.898786
2024-01-01 07:00:00,24.2772
2024-01-01 07:30:00,28.572318
2024-01-01 08:00:00,31.66233
2024-01-01 08:30:00,38.254357
2024-01-01 09:00:00,31.55933
2024-01-01 09:30:00,38.182257
2024-01-01 10:00:00,43.445579
2024-01-01 10:30:00,43.455879
2024-01-01 11:00:00,42.178674
2024-01-01 11:30:00,41.169269
2024-01-01 12:00:00,42.662776
2024-01-01 12:30:00,46.576792
2024-01-01 13:00:00,50.377507
2024-01-01 13:30:00,52.550816
2024-01-01 14:00:00,52.808317
2024-01-01 14:30:00,52.015214
2024-01-01 15:00:00,51.809213
2024-01-01 15:30:00,40.304066
2024-01-01 16:00:00,23.834298
2024-01-01 16:30:00,22.412892
2024-01-01 17:00:00,21.78459
2024-01-01 17:30:00,21.578589
2024-01-01 18:00:00,21.630089
2024-01-01 18:30:00,21.81549
2024-01-01 19:00:00,21.218087
2024-01-01 19:30:00,21.073887
2024-01-01 20:00:00,20.713385
2024-01-01 20:30:00,20.620685
2024-01-01 21:00:00,20.435284
2024-01-01 21:30:00,20.445584
2024-01-01 22:00:00,20.280783
2024-01-01 22:30:00,20.043882
2024-01-01 23:00:00,20.383784
2024-01-01 23:30:00,20.064483
2024-01-02 00:00:00,20.332284
2024-01-02 00:30:00,20.054183
2024-01-02 01:00:00,20.208683
2024-01-02 01:30:00,20.198383
2024-01-02 02:00:00,20.157183
2024-01-02 02:30:00,20.775185
2024-01-02 03:00:00,20.404384
2024-01-02 03:30:00,20.229283
2024-01-02 04:00:00,20.363184
2024-01-02 04:30:00,20.445584
2024-01-02 05:00:00,20.672185
2024-01-02 05:30:00,20.280783
2024-01-02 06:00:00,20.527984
2024-01-02 06:30:00,20.836986
2024-01-02 07:00:00,21.063587
2024-01-02 07:30:00,21.485888
2024-01-02 08:00:00,22.608593
2024-01-02 08:30:00,22.443792
2024-01-02 09:00:00,25.173304
2024-01-02 09:30:00,29.375721
2024-01-02 10:00:00,25.966407
2024-01-02 10:30:00,24.4214
2024-01-02 11:00:00,25.430805
2024-01-02 11:30:00,25.183604
2024-01-02 12:00:00,24.936403
2024-01-02 12:30:00,28.026415
2024-01-02 13:00:00,25.678006
2024-01-02 13:30:00,25.193904
2024-01-02 14:00:00,24.545001
2024-01-02 14:30:00,25.935507
2024-01-02 15:00:00,24.977603
2024-01-02 15:30:00,27.027311
2024-01-02 16:00:00,28.180916
2024-01-02 16:30:00,25.482305
2024-01-02 17:00:00,23.267796
2024-01-02 17:30:00,23.834298
2024-01-02 18:00:00,23.288396
2024-01-02 18:30:00,23.473797
2024-01-02 19:00:00,22.886694
2024-01-02 19:30:00,22.732194
2024-01-02 20:00:00,22.629193
2024-01-02 20:30:00,22.711593
2024-01-02 21:00:00,22.598293
2024-01-02 21:30:00,21.99059
2024-01-02 22:00:00,22.289292
2024-01-02 22:30:00,21.516789
2024-01-02 23:00:00,21.166587
2024-01-02 23:30:00,20.558885
2024-01-03 00:00:00,21.135687
2024-01-03 00:30:00,20.929686
2024-01-03 01:00:00,20.795786
2024-01-03 01:30:00,20.939986
2024-01-03 02:00:00,20.981186
2024-01-03 02:30:00,21.073887
2024-01-03 03:00:00,23.257496
2024-01-03 03:30:00,27.315712
2024-01-03 04:00:00,22.474692
2024-01-03 04:30:00,23.072095
2024-01-03 05:00:00,27.511413
2024-01-03 05:30:00,45.886689
2024-01-03 06:00:00,79.609028
2024-01-03 06:30:00,74.531107
2024-01-03 07:00:00,74.510507
2024-01-03 07:30:00,77.476919
2024-01-03 08:00:00,83.626044
2024-01-03 08:30:00,80.762632
2024-01-03 09:00:00,82.69904
2024-01-03 09:30:00,83.564244
2024-01-03 10:00:00,84.99595
2024-01-03 10:30:00,83.275843
2024-01-03 11:00:00,80.09313
2024-01-03 11:30:00,82.050138
2024-01-03 12:00:00,80.752332
2024-01-03 12:30:00,79.289726
2024-01-03 13:00:00,80.639032
2024-01-03 13:30:00,80.041629
2024-01-03 14:00:00,82.997742
2024-01-03 14:30:00,80.906833
2024-01-03 15:00:00,80.886233
2024-01-03 15:30:00,80.927433
2024-01-03 16:00:00,78.692324
2024-01-03 16:30:00,75.993713
2024-01-03 17:00:00,37.038952
2024-01-03 17:30:00,35.998648
2024-01-03 18:00:00,34.278541
2024-01-03 18:30:00,33.032236
2024-01-03 19:00:00,29.798023
2024-01-03 19:30:00,30.858927
2024-01-03 20:00:00,31.56963
2024-01-03 20:30:00,30.652926
2024-01-03 21:00:00,26.429909
2024-01-03 21:30:00,26.172408
2024-01-03 22:00:00,25.801606
2024-01-03 22:30:00,24.596501
2024-01-03 23:00:00,23.638597
2024-01-03 23:30:00,22.927894
2024-01-04 00:00:00,23.041195
2024-01-04 00:30:00,22.660093
2024-01-04 01:00:00,23.072095
2024-01-04 01:30:00,22.660093
2024-01-04 02:00:00,22.484993
2024-01-04 02:30:00,23.216296
